Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
Ruby, idle_fasta.ruby-6_25000000, -1, 15.933532714843750000, 1.228942871093750000, 0.022705078125000000, 10.032226562500000000, 10001.9, 41.0, 112000
Ruby, idle_fasta.ruby-6_25000000, -1, 16.588012695312500000, 1.722961425781250000, 0.105712890625000000, 10.153991699218750000, 10002, 38.0, 112000
Ruby, idle_fasta.ruby-6_25000000, -1, 15.857788085937500000, 1.180847167968750000, 0.066162109375000000, 10.039062500000000000, 10001.9, 38.0, 112000
Ruby, idle_fasta.ruby-6_25000000, -1, 18.009582519531250000, 3.091125488281250000, 0.128173828125000000, 10.186706542968750000, 10001.8, 37.2, 112000
Ruby, idle_fasta.ruby-6_25000000, -1, 17.226745605468750000, 2.469726562500000000, 0.088989257812500000, 10.075378417968750000, 10002, 37.2, 112000
Ruby, idle_fasta.ruby-6_25000000, -1, 17.074157714843750000, 2.169860839843750000, 0.113464355468750000, 10.180053710937500000, 10002.1, 37.5, 112000
Ruby, idle_fasta.ruby-6_25000000, -1, 16.104431152343750000, 1.392639160156250000, 0.071166992187500000, 10.052673339843750000, 10001.9, 38.2, 112000
Ruby, idle_fasta.ruby-6_25000000, -1, 16.706604003906250000, 1.821289062500000000, 0.114501953125000000, 10.162963867187500000, 10001.9, 38.2, 112000
Ruby, idle_fasta.ruby-6_25000000, -1, 15.852478027343750000, 1.150451660156250000, 0.073547363281250000, 10.036560058593750000, 10001.9, 38.8, 112000
Ruby, idle_fasta.ruby-6_25000000, -1, 16.527099609375000000, 1.614868164062500000, 0.123352050781250000, 10.164672851562500000, 10001.8, 38.5, 112000
Ruby, fasta.ruby-6_25000000, -1, 3612.362731933593750000, 3201.254577636718750000, 118.649780273437500000, 209.811401367187500000, 138932, 42.8, 112000
Ruby, fasta.ruby-6_25000000, -1, 3543.441406250000000000, 3136.763916015625000000, 119.960632324218750000, 205.230041503906250000, 136003, 44.2, 112000
Ruby, fasta.ruby-6_25000000, -1, 3640.922241210937500000, 3220.340576171875000000, 123.698913574218750000, 212.955139160156250000, 141069, 44.8, 112000
Ruby, fasta.ruby-6_25000000, -1, 3568.675842285156250000, 3158.353576660156250000, 120.082702636718750000, 207.897094726562500000, 137811, 45.0, 112000
Ruby, fasta.ruby-6_25000000, -1, 3547.872558593750000000, 3139.952941894531250000, 119.303222656250000000, 205.972839355468750000, 136439, 44.8, 112000
Ruby, fasta.ruby-6_25000000, -1, 3569.267883300781250000, 3156.212097167968750000, 121.907409667968750000, 207.610900878906250000, 137552, 44.8, 112000
Ruby, fasta.ruby-6_25000000, -1, 3587.690490722656250000, 3173.582092285156250000, 122.569946289062500000, 208.551818847656250000, 138218, 45.0, 112000
Ruby, fasta.ruby-6_25000000, -1, 3641.136230468750000000, 3219.999023437500000000, 124.086303710937500000, 212.191528320312500000, 140648, 45.0, 112000
Ruby, fasta.ruby-6_25000000, -1, 3641.426879882812500000, 3218.889221191406250000, 125.277526855468750000, 213.058898925781250000, 140979, 44.8, 112000
Ruby, fasta.ruby-6_25000000, -1, 3561.145996093750000000, 3150.729797363281250000, 120.664184570312500000, 207.344482421875000000, 136896, 45.0, 112000
Ruby_JIT, idle_fasta.ruby-6_25000000, -1, 16.271362304687500000, 1.286254882812500000, 0.067810058593750000, 10.229736328125000000, 10001.9, 41.8, 112680
Ruby_JIT, idle_fasta.ruby-6_25000000, -1, 16.746520996093750000, 1.662902832031250000, 0.116821289062500000, 10.319213867187500000, 10001.8, 39.8, 112680
Ruby_JIT, idle_fasta.ruby-6_25000000, -1, 16.220153808593750000, 1.302124023437500000, 0.076843261718750000, 10.202758789062500000, 10001.8, 39.0, 112680
Ruby_JIT, idle_fasta.ruby-6_25000000, -1, 16.555297851562500000, 1.543579101562500000, 0.104309082031250000, 10.304199218750000000, 10001.9, 38.5, 112680
Ruby_JIT, idle_fasta.ruby-6_25000000, -1, 16.009948730468750000, 1.127258300781250000, 0.079895019531250000, 10.210388183593750000, 10001.8, 37.8, 112680
Ruby_JIT, idle_fasta.ruby-6_25000000, -1, 16.485351562500000000, 1.464233398437500000, 0.109741210937500000, 10.304138183593750000, 10002.1, 38.0, 112680
Ruby_JIT, idle_fasta.ruby-6_25000000, -1, 16.046142578125000000, 1.172851562500000000, 0.071594238281250000, 10.198547363281250000, 10001.8, 40.0, 112680
Ruby_JIT, idle_fasta.ruby-6_25000000, -1, 16.792724609375000000, 1.730468750000000000, 0.115234375000000000, 10.323242187500000000, 10002.3, 38.8, 112680
Ruby_JIT, idle_fasta.ruby-6_25000000, -1, 16.251892089843750000, 1.351989746093750000, 0.073852539062500000, 10.204345703125000000, 10001.9, 39.0, 112680
Ruby_JIT, idle_fasta.ruby-6_25000000, -1, 26.311401367187500000, 10.990783691406250000, 0.110778808593750000, 10.403015136718750000, 10001.9, 39.2, 112680
Ruby_JIT, fasta.ruby-6_25000000, -1, 2307.974914550781250000, 2084.319580078125000000, 65.957031250000000000, 113.586120605468750000, 73864.2, 43.8, 112680
Ruby_JIT, fasta.ruby-6_25000000, -1, 2272.938659667968750000, 2051.320434570312500000, 66.123718261718750000, 111.666931152343750000, 72628.4, 44.5, 112680
Ruby_JIT, fasta.ruby-6_25000000, -1, 2343.396850585937500000, 2113.910766601562500000, 68.372985839843750000, 115.368286132812500000, 75034.6, 44.8, 112680
Ruby_JIT, fasta.ruby-6_25000000, -1, 2332.377990722656250000, 2104.772644042968750000, 67.838867187500000000, 114.987976074218750000, 74720.8, 44.8, 112680
Ruby_JIT, fasta.ruby-6_25000000, -1, 2332.212951660156250000, 2103.037963867187500000, 68.446594238281250000, 115.201904296875000000, 74988.7, 44.5, 112680
Ruby_JIT, fasta.ruby-6_25000000, -1, 2354.163757324218750000, 2123.581970214843750000, 69.337097167968750000, 115.841125488281250000, 75274.7, 45.0, 112680
Ruby_JIT, fasta.ruby-6_25000000, -1, 2329.844970703125000000, 2101.088500976562500000, 68.700439453125000000, 115.004577636718750000, 74753.3, 44.8, 112680
Ruby_JIT, fasta.ruby-6_25000000, -1, 2324.946716308593750000, 2096.400634765625000000, 69.264648437500000000, 114.206604003906250000, 74246.4, 44.8, 112680
Ruby_JIT, fasta.ruby-6_25000000, -1, 2308.534484863281250000, 2082.390197753906250000, 67.847717285156250000, 113.450927734375000000, 73794.6, 45.0, 112680
Ruby_JIT, fasta.ruby-6_25000000, -1, 2340.414916992187500000, 2112.158630371093750000, 67.943420410156250000, 115.032470703125000000, 74790, 45.0, 112680
Ruby, idle_nbody.ruby-3_50000000, -1, 16.104736328125000000, 1.227905273437500000, 0.051513671875000000, 10.207641601562500000, 10001.9, 39.5, 13128
Ruby, idle_nbody.ruby-3_50000000, -1, 16.795715332031250000, 1.757080078125000000, 0.110351562500000000, 10.335449218750000000, 10002, 37.8, 13128
Ruby, idle_nbody.ruby-3_50000000, -1, 16.345642089843750000, 1.481567382812500000, 0.080993652343750000, 10.218627929687500000, 10002, 36.8, 13128
Ruby, idle_nbody.ruby-3_50000000, -1, 17.165222167968750000, 2.126708984375000000, 0.100463867187500000, 10.352539062500000000, 10002, 36.5, 13128
Ruby, idle_nbody.ruby-3_50000000, -1, 16.190612792968750000, 1.349975585937500000, 0.064392089843750000, 10.218505859375000000, 10002.1, 36.8, 13128
Ruby, idle_nbody.ruby-3_50000000, -1, 16.884277343750000000, 1.854248046875000000, 0.112731933593750000, 10.329284667968750000, 10002.4, 37.0, 13128
Ruby, idle_nbody.ruby-3_50000000, -1, 16.053955078125000000, 1.191101074218750000, 0.076110839843750000, 10.213195800781250000, 10001.9, 37.2, 13128
Ruby, idle_nbody.ruby-3_50000000, -1, 16.845092773437500000, 1.806213378906250000, 0.112854003906250000, 10.332580566406250000, 10001.9, 37.5, 13128
