Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
Javascript, idle_mandelbrot.node-3_16000, -1, 16.976257324218750000, 1.806396484375000000, 0.132019042968750000, 10.153259277343750000, 10002.2, 44.8, 282736
Javascript, idle_mandelbrot.node-3_16000, -1, 17.080078125000000000, 1.933837890625000000, 0.125244140625000000, 10.173645019531250000, 10001.9, 42.8, 282736
Javascript, idle_mandelbrot.node-3_16000, -1, 16.322387695312500000, 1.292358398437500000, 0.083496093750000000, 10.042053222656250000, 10001.8, 42.0, 282736
Javascript, idle_mandelbrot.node-3_16000, -1, 16.610900878906250000, 1.530578613281250000, 0.142761230468750000, 10.161499023437500000, 10001.9, 41.2, 282736
Javascript, idle_mandelbrot.node-3_16000, -1, 16.089538574218750000, 1.228637695312500000, 0.074890136718750000, 10.048583984375000000, 10001.9, 40.5, 282736
Javascript, idle_mandelbrot.node-3_16000, -1, 16.593627929687500000, 1.587829589843750000, 0.129577636718750000, 10.164001464843750000, 10002, 40.2, 282736
Javascript, idle_mandelbrot.node-3_16000, -1, 15.873596191406250000, 1.091613769531250000, 0.074768066406250000, 10.034240722656250000, 10001.8, 39.8, 282736
Javascript, idle_mandelbrot.node-3_16000, -1, 16.537658691406250000, 1.594848632812500000, 0.125183105468750000, 10.148437500000000000, 10002, 39.2, 282736
Javascript, idle_mandelbrot.node-3_16000, -1, 15.767639160156250000, 0.998352050781250000, 0.067138671875000000, 10.031982421875000000, 10001.8, 38.5, 282736
Javascript, idle_mandelbrot.node-3_16000, -1, 16.752929687500000000, 1.754333496093750000, 0.145629882812500000, 10.165344238281250000, 10002.1, 39.2, 282736
Javascript, mandelbrot.node-3_16000, -1, 5123.919616699218750000, 4737.680847167968750000, 1.960937500000000000, 404.787536621093750000, 137017, 45.0, 282736
Javascript, mandelbrot.node-3_16000, -1, 5126.273925781250000000, 4739.523986816406250000, 1.754455566406250000, 405.410339355468750000, 137267, 44.8, 282736
Javascript, mandelbrot.node-3_16000, -1, 5167.168701171875000000, 4779.286682128906250000, 1.813781738281250000, 405.966186523437500000, 137688, 45.0, 282736
Javascript, mandelbrot.node-3_16000, -1, 5180.064453125000000000, 4791.258850097656250000, 1.798034667968750000, 406.605407714843750000, 138242, 44.8, 282736
Javascript, mandelbrot.node-3_16000, -1, 5127.382019042968750000, 4740.632019042968750000, 1.718078613281250000, 404.973022460937500000, 137309, 45.0, 282736
Javascript, mandelbrot.node-3_16000, -1, 5154.277038574218750000, 4763.779052734375000000, 1.631896972656250000, 407.962463378906250000, 139272, 45.0, 282736
Javascript, mandelbrot.node-3_16000, -1, 5154.046325683593750000, 4764.442626953125000000, 2.004211425781250000, 406.967773437500000000, 138468, 45.0, 282736
Javascript, mandelbrot.node-3_16000, -1, 5019.606323242187500000, 4625.896667480468750000, 1.555419921875000000, 410.319824218750000000, 140754, 45.0, 282736
Javascript, mandelbrot.node-3_16000, -1, 5089.271606445312500000, 4701.330261230468750000, 1.783203125000000000, 405.916381835937500000, 137960, 44.8, 282736
