Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
PHP, idle_nbody.php-3_50000000, -1, 15.983398437500000000, 1.255126953125000000, 0.052490234375000000, 10.036926269531250000, 10001.9, 38.2, 37464
PHP, idle_nbody.php-3_50000000, -1, 16.815429687500000000, 1.861999511718750000, 0.144470214843750000, 10.176574707031250000, 10002, 36.5, 37464
PHP, idle_nbody.php-3_50000000, -1, 16.433288574218750000, 1.630615234375000000, 0.071899414062500000, 10.048828125000000000, 10002, 36.0, 37464
PHP, idle_nbody.php-3_50000000, -1, 16.443542480468750000, 1.591979980468750000, 0.118286132812500000, 10.147766113281250000, 10001.9, 35.8, 37464
PHP, idle_nbody.php-3_50000000, -1, 15.805725097656250000, 1.097351074218750000, 0.084838867187500000, 10.045288085937500000, 10001.8, 36.2, 37464
PHP, idle_nbody.php-3_50000000, -1, 16.567260742187500000, 1.678344726562500000, 0.136230468750000000, 10.146057128906250000, 10002.3, 36.2, 37464
PHP, idle_nbody.php-3_50000000, -1, 15.810241699218750000, 1.095031738281250000, 0.083557128906250000, 10.033691406250000000, 10001.8, 36.5, 37464
PHP, idle_nbody.php-3_50000000, -1, 16.460266113281250000, 1.536621093750000000, 0.135864257812500000, 10.167175292968750000, 10001.9, 37.0, 37464
PHP, idle_nbody.php-3_50000000, -1, 16.627014160156250000, 1.860656738281250000, 0.090881347656250000, 10.058349609375000000, 10001.9, 37.2, 37464
PHP, idle_nbody.php-3_50000000, -1, 16.599121093750000000, 1.695861816406250000, 0.130004882812500000, 10.148742675781250000, 10001.8, 37.8, 37464
PHP, nbody.php-3_50000000, -1, 2350.984008789062500000, 2093.750061035156250000, 0.212707519531250000, 135.553039550781250000, 134377, 41.0, 37464
PHP, nbody.php-3_50000000, -1, 2316.695251464843750000, 2065.811889648437500000, 0.229064941406250000, 133.210021972656250000, 132217, 39.5, 37464
PHP, nbody.php-3_50000000, -1, 2301.036376953125000000, 2051.955444335937500000, 0.244934082031250000, 132.353332519531250000, 131367, 38.8, 37464
PHP, nbody.php-3_50000000, -1, 2321.814941406250000000, 2070.206420898437500000, 0.223754882812500000, 133.779663085937500000, 132792, 38.2, 37464
PHP, nbody.php-3_50000000, -1, 2290.249694824218750000, 2038.802551269531250000, 0.234130859375000000, 131.590393066406250000, 130626, 38.2, 37464
PHP, nbody.php-3_50000000, -1, 2330.441589355468750000, 2078.910217285156250000, 0.280883789062500000, 133.566894531250000000, 132499, 38.8, 37464
PHP, nbody.php-3_50000000, -1, 2252.570129394531250000, 2003.621215820312500000, 0.254699707031250000, 132.020874023437500000, 130981, 38.8, 37464
PHP, nbody.php-3_50000000, -1, 2320.320129394531250000, 2068.498229980468750000, 0.220153808593750000, 133.802673339843750000, 132820, 38.8, 37464
PHP, nbody.php-3_50000000, -1, 2322.078918457031250000, 2070.469360351562500000, 0.241088867187500000, 133.650939941406250000, 132672, 39.2, 37464
PHP, nbody.php-3_50000000, -1, 2320.318603515625000000, 2069.144531250000000000, 0.236389160156250000, 133.477233886718750000, 132481, 38.5, 37464
PHP_JIT, idle_nbody.php-3_50000000, -1, 16.363220214843750000, 1.563903808593750000, 0.053222656250000000, 10.050842285156250000, 10001.8, 37.2, 38568
PHP_JIT, idle_nbody.php-3_50000000, -1, 16.985412597656250000, 2.089721679687500000, 0.124755859375000000, 10.170654296875000000, 10002, 36.0, 38568
PHP_JIT, idle_nbody.php-3_50000000, -1, 16.076354980468750000, 1.373901367187500000, 0.089172363281250000, 10.051757812500000000, 10002, 35.5, 38568
PHP_JIT, idle_nbody.php-3_50000000, -1, 16.735839843750000000, 1.850524902343750000, 0.120178222656250000, 10.173278808593750000, 10002, 35.0, 38568
PHP_JIT, idle_nbody.php-3_50000000, -1, 16.154052734375000000, 1.421997070312500000, 0.088623046875000000, 10.054565429687500000, 10001.9, 35.8, 38568
PHP_JIT, idle_nbody.php-3_50000000, -1, 16.934753417968750000, 2.011413574218750000, 0.129028320312500000, 10.178588867187500000, 10001.9, 35.5, 38568
PHP_JIT, idle_nbody.php-3_50000000, -1, 16.561035156250000000, 1.771972656250000000, 0.092468261718750000, 10.077758789062500000, 10002, 36.2, 38568
